<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABT.US,D,20110317,000000,18.231,18.273,18.06,18.258,23369250,0
ABT.US,D,20110318,000000,18.374,18.672,18.343,18.509,23701084,0
ABT.US,D,20110321,000000,18.591,18.628,18.474,18.543,7938839,0
ABT.US,D,20110322,000000,18.522,18.602,18.406,18.526,16966757,0
ABT.US,D,20110323,000000,18.522,18.553,18.263,18.539,15988125,0
ABT.US,D,20110324,000000,18.595,18.595,18.435,18.582,17545993,0
ABT.US,D,20110325,000000,18.629,18.629,18.394,18.554,22294055,0
ABT.US,D,20110328,000000,18.595,18.613,18.543,18.57,11752857,0
ABT.US,D,20110329,000000,18.551,18.689,18.504,18.689,19063188,0
ABT.US,D,20110330,000000,18.774,18.992,18.747,18.912,24297251,0
ABT.US,D,20110331,000000,18.932,19.098,18.854,18.944,25507881,0
ABT.US,D,20110401,000000,18.988,19.081,18.945,19.068,16503654,0
ABT.US,D,20110404,000000,19.312,19.497,19.218,19.409,26803681,0
ABT.US,D,20110405,000000,19.45,19.502,19.305,19.309,17762505,0
ABT.US,D,20110406,000000,19.329,19.593,19.325,19.573,20926498,0
ABT.US,D,20110407,000000,19.523,19.562,19.367,19.506,15139454,0
ABT.US,D,20110408,000000,19.518,19.58,19.439,19.506,15078646,0
ABT.US,D,20110411,000000,19.509,19.711,19.472,19.666,19376805,0
ABT.US,D,20110412,000000,19.541,19.874,19.541,19.711,26158145,0
ABT.US,D,20110413,000000,19.715,19.9,19.622,19.674,18432798,0
ABT.US,D,20110414,000000,19.666,19.947,19.606,19.888,19865813,0
ABT.US,D,20110415,000000,20.026,20.265,19.932,20.236,33697183,0
ABT.US,D,20110418,000000,20.114,20.118,19.831,19.993,28294761,0
ABT.US,D,20110419,000000,19.912,19.974,19.851,19.924,20697117,0
ABT.US,D,20110420,000000,20.207,20.269,19.516,19.809,33536012,0
ABT.US,D,20110421,000000,19.778,20.653,19.746,20.2,47479978,0
ABT.US,D,20110425,000000,20.106,20.146,19.769,20.009,19700912,0
ABT.US,D,20110426,000000,19.954,20.215,19.883,20.188,18784230,0
ABT.US,D,20110427,000000,20.188,20.375,20.121,20.347,17984458,0
ABT.US,D,20110428,000000,20.273,20.413,20.249,20.389,15507517,0
ABT.US,D,20110429,000000,20.402,20.427,20.236,20.291,14648852,0
ABT.US,D,20110502,000000,20.363,20.56,20.315,20.507,19661666,0
ABT.US,D,20110503,000000,20.393,20.627,20.335,20.606,26443338,0
ABT.US,D,20110504,000000,20.615,20.669,20.578,20.644,17901671,0
ABT.US,D,20110505,000000,20.604,20.644,20.413,20.499,16568097,0
ABT.US,D,20110506,000000,20.568,20.615,20.398,20.478,14615857,0
ABT.US,D,20110509,000000,20.476,20.568,20.379,20.534,14839565,0
ABT.US,D,20110510,000000,20.599,20.631,20.512,20.604,10096724,0
ABT.US,D,20110511,000000,20.627,20.803,20.604,20.687,19651499,0
ABT.US,D,20110512,000000,20.669,20.958,20.568,20.876,20586504,0
ABT.US,D,20110513,000000,20.835,21.151,20.758,20.859,20681040,0
ABT.US,D,20110516,000000,20.855,21.134,20.823,21.058,18707536,0
ABT.US,D,20110517,000000,21.017,21.017,20.71,20.864,17538248,0
ABT.US,D,20110518,000000,20.915,21.038,20.878,20.986,17951637,0
ABT.US,D,20110519,000000,21.046,21.058,20.714,20.831,15705315,0
ABT.US,D,20110520,000000,20.823,21.021,20.64,20.868,19090043,0
ABT.US,D,20110523,000000,20.667,20.859,20.604,20.761,15901861,0
ABT.US,D,20110524,000000,20.831,20.878,20.667,20.794,11432077,0
ABT.US,D,20110525,000000,20.786,20.811,20.556,20.658,15511606,0
ABT.US,D,20110526,000000,20.635,20.702,20.106,20.33,46681033,0
ABT.US,D,20110527,000000,20.322,20.375,20.03,20.103,23974090,0
ABT.US,D,20110531,000000,20.243,20.387,20.139,20.376,29167723,0
ABT.US,D,20110601,000000,20.363,20.459,20.179,20.244,17192175,0
ABT.US,D,20110602,000000,20.229,20.229,19.9,19.982,22791621,0
ABT.US,D,20110603,000000,19.855,19.997,19.737,19.919,16419133,0
ABT.US,D,20110606,000000,19.924,19.974,19.837,19.896,15153508,0
ABT.US,D,20110607,000000,20.002,20.187,19.943,20.035,18511498,0
ABT.US,D,20110608,000000,19.983,20.125,19.948,20.097,14746935,0
ABT.US,D,20110609,000000,20.108,20.318,20.031,20.097,17779490,0
ABT.US,D,20110610,000000,20.021,20.072,19.846,19.846,19175269,0
ABT.US,D,20110613,000000,19.978,20.135,19.951,20.042,19817597,0
ABT.US,D,20110614,000000,20.171,20.171,19.943,19.997,22074133,0
ABT.US,D,20110615,000000,19.947,20.143,19.904,20.005,17276292,0
ABT.US,D,20110616,000000,20.006,20.057,19.924,20.006,16680002,0
ABT.US,D,20110617,000000,20.2,20.363,20.135,20.149,22513973,0
ABT.US,D,20110620,000000,20.154,20.347,20.106,20.285,14291626,0
ABT.US,D,20110621,000000,20.363,20.462,20.297,20.379,13720833,0
ABT.US,D,20110622,000000,20.313,20.413,20.297,20.31,11704578,0
ABT.US,D,20110623,000000,20.184,20.289,19.968,20.244,17753841,0
ABT.US,D,20110624,000000,20.229,20.229,20.073,20.178,13322175,0
ABT.US,D,20110627,000000,20.215,20.33,20.135,20.236,11755636,0
ABT.US,D,20110628,000000,20.339,20.417,20.285,20.375,13042943,0
ABT.US,D,20110629,000000,20.393,20.4,20.269,20.339,13889317,0
ABT.US,D,20110630,000000,20.565,20.58,20.402,20.52,14848895,0
ABT.US,D,20110701,000000,20.492,20.705,20.43,20.705,14216708,0
ABT.US,D,20110705,000000,20.705,20.782,20.638,20.728,12941307,0
ABT.US,D,20110706,000000,20.769,20.84,20.728,20.773,9163650,0
ABT.US,D,20110707,000000,20.86,20.902,20.758,20.879,12638164,0
ABT.US,D,20110708,000000,20.761,20.844,20.638,20.794,13209351,0
ABT.US,D,20110711,000000,20.643,20.747,20.606,20.735,13770867,0
ABT.US,D,20110712,000000,20.695,20.884,20.57,20.777,18622006,0
ABT.US,D,20110713,000000,20.884,20.988,20.699,20.761,17801699,0
ABT.US,D,20110714,000000,20.751,20.984,20.738,20.915,15921531,0
ABT.US,D,20110715,000000,20.967,21.019,20.773,20.872,14276885,0
ABT.US,D,20110718,000000,20.828,20.869,20.566,20.676,13614701,0
ABT.US,D,20110719,000000,20.702,20.824,20.573,20.811,15019677,0
ABT.US,D,20110720,000000,20.933,20.949,20.426,20.618,22797666,0
ABT.US,D,20110721,000000,20.769,20.887,20.695,20.794,17768367,0
ABT.US,D,20110722,000000,20.828,20.869,20.724,20.836,12611027,0
ABT.US,D,20110725,000000,20.735,20.933,20.656,20.691,17828293,0
ABT.US,D,20110726,000000,20.728,20.728,20.517,20.532,14899800,0
ABT.US,D,20110727,000000,20.445,20.532,20.363,20.394,17583781,0
ABT.US,D,20110728,000000,20.367,20.509,20.289,20.313,12624909,0
ABT.US,D,20110729,000000,20.217,20.305,20.127,20.195,20726296,0
ABT.US,D,20110801,000000,20.313,20.313,19.733,19.859,23649335,0
ABT.US,D,20110802,000000,19.783,19.85,19.624,19.75,24453991,0
ABT.US,D,20110803,000000,19.702,19.814,19.423,19.787,24570120,0
