<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AB.US,D,20130923,000000,11.604,11.878,11.289,11.305,462790,0
AB.US,D,20130924,000000,11.289,11.299,10.931,11.013,709682,0
AB.US,D,20130925,000000,11.051,11.076,10.863,10.872,567934,0
AB.US,D,20130926,000000,10.934,11.116,10.89,11.067,384569,0
AB.US,D,20130927,000000,11.033,11.095,10.819,10.969,626262,0
AB.US,D,20130930,000000,10.812,11.022,10.8,11.002,635449,0
AB.US,D,20131001,000000,11.044,11.116,10.857,10.863,508024,0
AB.US,D,20131002,000000,10.812,10.912,10.806,10.852,275657,0
AB.US,D,20131003,000000,10.912,11.018,10.8,10.991,733709,0
AB.US,D,20131004,000000,11.005,11.211,11.005,11.033,316909,0
AB.US,D,20131007,000000,11.03,11.116,10.969,11.067,534218,0
AB.US,D,20131008,000000,11.116,11.173,10.8,10.8,489856,0
AB.US,D,20131009,000000,10.916,11.072,10.8,10.969,749082,0
AB.US,D,20131010,000000,11.205,11.205,10.972,11.107,896288,0
AB.US,D,20131011,000000,11.107,11.289,11.072,11.289,1153855,0
AB.US,D,20131014,000000,11.19,11.316,11.156,11.316,988110,0
AB.US,D,20131015,000000,11.316,11.516,11.128,11.19,270869,0
AB.US,D,20131016,000000,11.295,11.571,11.084,11.483,677114,0
AB.US,D,20131017,000000,11.465,11.878,11.465,11.831,1298618,0
AB.US,D,20131018,000000,11.945,11.962,11.754,11.858,560339,0
AB.US,D,20131021,000000,11.937,11.954,11.788,11.91,486408,0
AB.US,D,20131022,000000,12.003,12.125,11.89,11.917,595241,0
AB.US,D,20131023,000000,11.91,11.969,11.632,11.725,919590,0
AB.US,D,20131024,000000,11.88,11.917,11.36,11.715,1090213,0
AB.US,D,20131025,000000,11.775,12.214,11.764,12.063,663339,0
AB.US,D,20131028,000000,12.075,12.607,11.997,12.342,1554529,0
AB.US,D,20131029,000000,12.546,12.74,12.402,12.402,1123974,0
AB.US,D,20131030,000000,12.425,12.503,12.196,12.336,625328,0
AB.US,D,20131031,000000,12.313,12.646,12.239,12.532,676024,0
AB.US,D,20131101,000000,12.476,12.865,12.409,12.673,647082,0
AB.US,D,20131104,000000,12.808,12.833,12.555,12.706,385840,0
AB.US,D,20131105,000000,12.634,12.691,12.307,12.453,544028,0
AB.US,D,20131106,000000,12.561,12.748,12.499,12.515,608775,0
AB.US,D,20131107,000000,12.545,12.668,12.296,12.321,622520,0
AB.US,D,20131108,000000,12.283,12.555,12.063,12.29,672127,0
