<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ABC.US,D,20150916,000000,97.051,97.9,96.413,97.772,1673007,0
ABC.US,D,20150917,000000,97.9,99.51,97.17,98.199,1773996,0
ABC.US,D,20150918,000000,97.425,98.338,96.876,97.6,2415962,0
ABC.US,D,20150921,000000,98.017,98.747,96.353,96.857,1587777,0
ABC.US,D,20150922,000000,95.971,96.124,94.425,94.988,2703838,0
ABC.US,D,20150923,000000,94.931,95.362,94.076,94.58,2411116,0
ABC.US,D,20150924,000000,94.218,94.351,92.524,93.801,1756877,0
ABC.US,D,20150925,000000,94.177,94.257,91.424,91.837,1922400,0
ABC.US,D,20150928,000000,91.378,91.662,88.406,88.481,3673527,0
ABC.US,D,20150929,000000,88.481,89.05,86.841,87.432,3248823,0
ABC.US,D,20150930,000000,88.376,88.93,86.529,87.374,2588709,0
ABC.US,D,20151001,000000,87.374,87.486,85.727,86.934,3471255,0
ABC.US,D,20151002,000000,84.936,87.365,83.54,87.302,3792830,0
ABC.US,D,20151005,000000,87.698,88.147,86.475,87.374,2763524,0
ABC.US,D,20151006,000000,87.817,88.214,84.875,85.572,4107232,0
ABC.US,D,20151007,000000,85.869,86.217,84.865,85.493,3107908,0
ABC.US,D,20151008,000000,85.599,86.354,84.413,86.042,2390198,0
ABC.US,D,20151009,000000,85.754,86.179,84.927,85.397,3061290,0
ABC.US,D,20151012,000000,85.562,86.236,85.36,86.207,2087907,0
ABC.US,D,20151013,000000,86.354,87.559,86.282,86.602,3305682,0
ABC.US,D,20151014,000000,86.466,87.365,85.304,85.572,2382192,0
ABC.US,D,20151015,000000,85.696,86.74,84.725,86.529,3217514,0
ABC.US,D,20151016,000000,87.036,87.68,86.779,87.44,1826622,0
ABC.US,D,20151019,000000,87.355,87.882,86.621,87.193,1697217,0
ABC.US,D,20151020,000000,87.036,87.432,85.427,85.712,2900582,0
ABC.US,D,20151021,000000,85.957,86.308,84.339,85.281,3039115,0
ABC.US,D,20151022,000000,85.437,86.179,84.432,85.36,3721515,0
ABC.US,D,20151023,000000,86.143,86.732,84.994,85.668,2823208,0
ABC.US,D,20151026,000000,85.599,86.611,85.397,86.123,2720146,0
ABC.US,D,20151027,000000,86.4,94.407,85.534,89.721,10579226,0
ABC.US,D,20151028,000000,89.851,90.311,88.498,89.684,3781527,0
ABC.US,D,20151029,000000,89.473,89.721,85.562,89.06,5630976,0
ABC.US,D,20151030,000000,89.473,90.596,88.674,88.772,3386456,0
ABC.US,D,20151102,000000,89.694,90.19,88.819,89.987,2646380,0
ABC.US,D,20151103,000000,89.63,90.301,89.011,89.841,1816420,0
ABC.US,D,20151104,000000,89.841,90.1,88.939,89.66,2034072,0
ABC.US,D,20151105,000000,89.96,90.522,89.574,90.042,2187880,0
ABC.US,D,20151106,000000,90.154,90.797,88.79,89.785,1740845,0
ABC.US,D,20151109,000000,89.528,90.061,88.656,89.592,1847205,0
ABC.US,D,20151110,000000,89.684,91.109,89.39,90.945,1973495,0
ABC.US,D,20151111,000000,91.441,91.653,90.281,90.366,1647568,0
ABC.US,D,20151112,000000,88.882,90.809,88.882,89.453,2073811,0
ABC.US,D,20151113,000000,89.156,90.119,88.813,89.156,1872196,0
ABC.US,D,20151116,000000,89.405,90.523,89.111,89.81,1982266,0
ABC.US,D,20151117,000000,90.209,91.87,89.839,91.537,2508679,0
ABC.US,D,20151118,000000,91.444,92.712,91.26,92.589,2154523,0
ABC.US,D,20151119,000000,92.609,93.106,91.418,91.556,2215122,0
ABC.US,D,20151120,000000,91.934,92.229,91.048,91.472,2491346,0
ABC.US,D,20151123,000000,91.382,91.382,90.89,91.131,1150987,0
ABC.US,D,20151124,000000,90.606,91.029,90.225,90.919,1551918,0
ABC.US,D,20151125,000000,91.382,91.583,90.301,91.317,2265569,0
ABC.US,D,20151127,000000,91.4,92.029,90.89,91.372,839947,0
ABC.US,D,20151130,000000,91.453,91.834,91.039,91.048,1711528,0
ABC.US,D,20151201,000000,91.232,92.145,91.205,91.843,1975919,0
ABC.US,D,20151202,000000,92.145,92.312,90.929,91.241,1590365,0
ABC.US,D,20151203,000000,91.39,91.574,90.483,91.112,2848309,0
ABC.US,D,20151204,000000,91.49,92.676,90.955,92.199,1838824,0
